;Intensity Mean;Intensity Max;Intensity Min;Intensity STD;F0 Mean;F0 Max;F0 Min;F0 STD;Spect Mean;Spect Max;Spect Min;Spect Std;Slope;Centroid;Tempo;Longest Pause;Longest Speech;s2pr;Direction
32;74.56905297400671;85.945692648572;50.49275413450205;8.034949718562894;131.85424737003854;428.2317008141115;84.50173881828978;101.38651987480002;-68.90380859375;0;-80;18.051095962524414;-0.0000024985092412392244;0.8960000000000001;2.577319587628869;344;2970;10.973805855161787;0
33;69.58880712868174;84.06907154450943;48.110622386701856;6.612669663869969;138.24252787487669;445.6431371840729;80.29742261039695;41.27123466567375;-69.72921752929688;0;-80;16.66140365600586;-0.0000016215588016968076;3.2000000000000006;4.658385093167704;1316;3524;3.8702636303505624;0
34;70.92121601056094;84.56041291451172;52.43607063018521;7.709416887289049;161.15049972399868;596.7098830514635;93.64734784366372;115.3411677291692;-68.72496795654297;0.000003814697265625;-80;18.441265106201172;-0.0000017197457627522538;2.048;5.301204819277065;820;3838;7.303424143964009;0
35;67.01106267019537;82.37451528665738;51.00109693468633;6.124603768493655;128.87504811719035;519.3577028909974;74.79831485101643;82.1664241421143;-68.6636962890625;0;-80;18.026782989501953;-0.000001500122473616565;1.664;5.6179775280898845;988;3653;6.546200688377019;0
36;65.85302642797619;84.0139671242573;48.5334863819694;10.694332071194102;193.0846641938522;546.4555748256806;75.9163717340134;182.7748210548064;-70.35115814208984;0;-80;16.63219451904297;-0.0000012956523115988759;0.512;2.830188679245277;32;1247;15.38150289017341;0
37;67.45784418271515;82.3220295819411;50.494716029143305;5.455096575672635;166.9044928347778;451.50148312797165;76.21241473421868;117.73962321759585;-68.91999816894531;0;-80;17.795124053955078;-0.0000012423984318922068;1.2800000000000002;3.3457249070632;535;2911;17.194256756756758;0
38;66.57166726150886;87.99113814260365;47.8235754689926;10.177434246341424;128.8833308303721;175.39834207705675;101.45593503394606;20.408578833785963;-73.16534423828125;0;-80;12.359203338623047;-0.000001174432806850238;0.8960000000000001;5.555555555555664;497;2004;10.863874345549739;0
39;74.09423458375554;86.30471823921668;44.9266895213087;12.174170184783506;105.25726486422333;437.0794669445147;86.16327056525225;57.72434938385856;-69.72102355957031;0.000003814697265625;-80;17.511611938476562;-0.000002700629779542999;0.7679999999999999;5.714285714285714;1045;5687;4.758521560574948;0
40;68.41159031237255;86.08239675498892;48.84235937972929;10.713381313998173;178.31438824412336;241.55981602190562;126.47151957805563;33.95144109557511;-72.41720581054688;-0.000003814697265625;-80;13.463887214660645;-0.000001714834235568234;0.8960000000000001;6.965174129353265;563;3529;4.957084720680725;0
41;71.79488464881462;85.43415992716606;50.37786011121058;7.810562909015011;124.90328592890474;168.1927258028862;85.67445646759242;22.83825278570984;-68.25863647460938;0;-80;19.117210388183594;-0.0000020401533986833367;1.664;6.306306306306336;586;3467;8.684707591718126;0
42;73.53446346960486;88.62359946687087;49.55857940377203;12.162569867053026;173.18559047968796;233.6527764173356;98.55161754176939;31.235034662629705;-72.2784652709961;0;-80;14.140494346618652;-0.0000020442294780237998;1.664;5.10510510510513;1393;3854;3.8966023875114786;0
43;73.96019307551745;85.5217725167195;44.902877133788685;9.151381223968944;102.33519978691855;122.26042817930453;86.05002071806133;9.210686196848096;-69.12230682373047;0;-80;17.964984893798828;-0.0000024094390341105332;0.8960000000000001;6.030150753768817;682;5970;6.664423076923077;0
44;67.92202026271246;86.71193067977637;48.145851088842875;11.121641102697245;177.55065161966917;532.1580361733808;108.4818468902975;66.12839070603684;-72.1501693725586;0;-80;13.747991561889648;-0.0000014087292808003914;1.2800000000000002;6.439393939393972;562;3814;4.884219315335375;0
