,Intensidy Mean,Intensidy Max,Intensidy Min,Intensity STD,F0 Mean,F0 Max,F0 Min,F0 STD,Spect Mean,Spect Max,Spect Min,Spect Std,Tempo
389,68.8493769583735,85.17531439801523,50.30696920728033,9.766892908538361,111.46021266780595,159.05772394500013,98.92034924151582,8.055188411907904,-70.67662048339844,-3.814697265625e-06,-80.0,16.38822364807129,6.860158311345712
390,67.1701416626355,85.3951414092723,46.054635621535986,10.280012501591504,130.24493997577727,462.6521205867543,108.07417443788856,39.416715458520095,-70.78045654296875,0.0,-80.0,15.950016021728516,6.287425149700325
391,67.55549153010396,84.78128100700168,48.38478896621525,10.802496260455902,115.0071742269798,130.4894956186573,103.462727716848,6.431336433062945,-70.88282775878906,0.0,-80.0,15.918567657470703,6.766917293233453
392,65.79945809551594,84.33097931934626,47.32900118679897,9.351459333290991,113.33256552801082,129.5125032207225,102.31761017925302,6.5718100109478454,-70.71307373046875,0.0,-80.0,15.904385566711426,6.9148936170208755
393,67.01888668886026,83.94452469438019,47.67594200224957,9.62069135689207,121.08639916925966,476.91768916532743,98.9565508979493,46.728090595456806,-70.64840698242188,0.0,-80.0,16.13559341430664,7.132243684992069
394,68.81920277431445,86.90311211284596,48.13716443024433,9.840530683806392,119.25108142676828,142.01677659308592,103.43823354053634,9.98390017894802,-71.09162902832031,3.814697265625e-06,-80.0,15.936434745788574,6.986899563316113
395,65.26779151824101,85.67458234647242,47.91393959363721,10.358196631434,113.20957070680836,132.47372720522685,92.72405934588022,10.105118799644373,-70.80770874023438,-3.814697265625e-06,-80.0,15.834465026855469,7.317073170732275
396,69.90952670728129,85.4214203702088,48.4148059788227,10.581707005387225,126.27500535746513,599.3043587026737,99.2842148571098,52.58820473474267,-70.90570068359375,0.0,-80.0,16.133609771728516,6.402439024390741
397,64.8319916504863,84.96569982363697,49.18480820207201,10.157639880457568,119.27940144634195,133.52473786893873,107.55767983838024,7.131234811829552,-70.16570281982422,0.0,-80.0,17.099714279174805,5.181347150260728
398,69.88941607253153,85.92450190655961,48.43763647206683,9.800707816021713,111.69567074570003,130.12993290602634,98.76387674202927,7.785338700975777,-70.17033386230469,-3.814697265625e-06,-80.0,17.238876342773438,7.096774193547554
399,69.79338275579242,85.18197504980735,48.96950841978342,9.580091124054332,136.62078410125633,506.24415087762685,93.93705757494412,87.48860259148786,-70.47447967529297,-3.814697265625e-06,-80.0,16.949237823486328,6.33802816901376
400,70.36869780315827,84.51638182719249,49.434477027745075,9.845410992348205,112.20232360469545,127.6720479955639,102.74312394537903,6.310505545699025,-70.36357879638672,0.0,-80.0,17.166309356689453,7.518796992481614
401,69.54279546976431,85.00130693697702,47.90885989058531,9.258359124012065,111.6368469070285,175.11907745567584,100.13132567789953,11.734917687890293,-69.74122619628906,0.0,-80.0,17.894207000732422,6.7055393586000145
402,69.7883650293555,85.47531900132552,49.38388858241868,10.13734876978322,131.36194563263524,591.7513050382049,96.54500155693644,89.93853118426546,-70.819580078125,0.0,-80.0,16.497434616088867,6.502242152466315
403,68.94365460343155,85.14632071395981,49.092505144045546,9.876374353730151,125.94035688417992,490.07419650435935,95.97361586518117,74.74157120487014,-70.57350158691406,3.814697265625e-06,-80.0,16.804826736450195,7.283464566929238
404,70.53883101410057,85.28017634635381,48.139669622471644,9.184855701327493,132.18036939292497,575.4394678877123,86.34924005466722,85.73504019525754,-69.81838989257812,0.0,-80.0,17.63467788696289,6.528662420381485
405,68.88169850438767,85.68177504093713,52.33554078350843,9.243819800694762,117.26599195457945,366.21871939796506,96.44401096058455,32.11408541527259,-70.68285369873047,3.814697265625e-06,-80.0,16.322425842285156,8.808290155441162
406,69.19868170099464,85.26542742708406,41.77466152912661,9.670161980979632,115.32704197699226,136.04693636381796,102.64935817355487,7.548210334528871,-70.32904815673828,0.0,-80.0,16.78108024597168,8.33333333333189
407,70.04199921478197,84.87264606222261,46.49014938186582,10.67543250604832,147.3843489610532,556.462050611092,87.26948415660009,97.48130010506753,-70.83190155029297,0.0,-80.0,16.36125946044922,7.382550335571551
408,63.804717708568866,84.95438032147555,48.010725222403195,9.806034182098117,115.02053710146137,142.0816186226507,101.2696255512476,8.978798932250042,-71.48011779785156,3.814697265625e-06,-80.0,15.019046783447266,8.396946564885846
409,65.45594947259261,82.40501522274371,42.22863810986035,10.16774236239208,113.49284682539837,129.19594813524176,97.41025781195822,6.827831693378787,-69.87397003173828,-3.814697265625e-06,-80.0,16.96150779724121,8.510638297871022
410,70.49568413517484,87.16598874065971,47.633679047967725,10.166893317364078,124.23173842466262,173.90202851715526,94.74084882893871,10.960573888083966,-71.0722885131836,3.814697265625e-06,-80.0,15.859570503234863,6.3636363636360125
411,68.67771468774292,85.98842785487072,45.83884427661224,10.537868230966117,117.4967033602457,135.90530319483642,100.6459724690054,7.220931762394632,-70.155517578125,3.814697265625e-06,-80.0,16.60429573059082,7.36196319018561
412,64.62311056216258,81.24161170967689,47.49039275004339,9.93387825882648,116.42352756304798,134.81640470751506,103.19298607925525,7.381172697570713,-69.39863586425781,0.0,-80.0,17.487468719482422,7.035175879397757
413,68.0442584762332,87.08216139036027,46.29177601422504,10.59711123399421,119.92658935062809,460.34547167781733,100.27285515668238,32.51996922860593,-71.5943832397461,0.0,-80.0,14.947265625,7.2592592592592595
414,70.05758850406865,85.82569088151395,47.08914888073039,10.75067545975744,118.25734646667448,135.93421210179318,104.67708490935128,9.256769789918586,-70.22766876220703,3.814697265625e-06,-80.0,16.821592330932617,7.171314741035233
415,68.71811982198741,83.68774168327974,47.23074991752714,10.21458842040562,112.09889192918499,133.86390567365237,84.48384458141061,8.93419239572477,-70.9822006225586,3.814697265625e-06,-80.0,16.053224563598633,7.692307692307214
416,68.03176692500709,86.11996829243384,47.67516824927327,10.5144995556351,139.8433475621311,599.4498147638008,84.01290530373308,81.0622450123146,-71.18965148925781,0.0,-80.0,15.726129531860352,6.553079947575267
417,70.33619003305087,86.64402196383413,47.3791762873151,10.330450371989805,118.61085678890606,152.9299164349393,99.13102272709288,10.994339737579923,-70.77906799316406,0.0,-80.0,16.232471466064453,6.209850107066284
418,68.86485147590587,85.24361135068425,49.778016774696745,10.266564015860451,122.98614774340682,463.678761758478,101.25582690939316,37.07478841414608,-70.7917709350586,0.0,-80.0,16.17150115966797,7.911392405061378
